x,y
تملأ فوانيس كبيرة وملونة الشوارع بوسط القاهرة يبحث المتسوقون المصريون حولهم لشراء فوانيس تقليدية مزخرفة مرتبطة بشهر رمضان المبارك اعتاد المصريون تزيين بيوتهم بالفوانيس خلال الشهر الفضيل الأزمة الاقتصادية وانعكاسها الواردات تضغط البائعين والمشترين الموسم ويوضح العديد المتسوقين أسعار الفوانيس التقليدية أعلى السنوات السابقة ومع يقولون إنهم سيشترونها ليعيشوا أجواء شهر الصوم المتسوق إيهاب لطفي اعتبر الأسعار ارتفعت بشكل ملحوظ السابق فسابقا كانت الحياة بسيطة مقارنة بالوقت الحالي وأضاف لطفي غلا ارتفع رمضان طول مرتبط بالفانوس عمل لازم نشتري فانوس رمضان وقال المتسوق محمد حسن للأطفال فقط وإنما للجميع بالنسبة الفانوس سواء ارتباطه تاريخيا بالحي النور اللي بيهل بيه الشهر فبالنسبة شيء بنور حياتنا رمضان شهر فعلا بينور حياتنا حياة صعبة وفيها أزمات وعندما يأتي يزيح الأزمات ويجعل الحياة أحلى وأضاف حسن شخص متجوز متزوج وليس عندي أطفال بد الفانوس مستدركا بالقول الأسعار مرتفعة جدا السابق معتبرا الفوانيس المصنوعة مصريا ترتفع أسعارها تشغيل الفيديومدة الفيديو وأقر البائع أشرف أحمد بارتفاع أسعار الفوانيس العام مشيرا كبياعين نحاول نخفض الأسعار لتناسب الزبائن ويكون الربح بسيط نريد بيت مصري رمضان فانوس يفرح الجميع منهيا كلامه أريد أبيع كتير وأكسب قليل وسجل التضخم أسعار المستهلكين مصر خلال فبرايرشباط الماضي أكبر صعود شهري الإطلاق قفز أساس شهري ينايركانون الثاني يفوق بكثير توقعات الاقتصاديين وتأتي الزيادة التضخم الارتفاع المتوقع ينتج انخفاض قيمة العملة الأسبوع الماضي سمح البنك المركزي المصري الأربعاء الماضي للجنيه المصري بالانخفاض جنيها مقابل الدولار جنيها وقال محافظ البنك المركزي المصري حسن عبد الله القاهرة تستهدف خفض معدل التضخم رقم أحادي المدى المتوسط وذلك حرر البنك سعر صرف الجنيه ورفع أسعار الفائدة نقطة أساس خلال اجتماع استثنائي الأربعاء الماضي وقال رئيس الوزراء المصري الأربعاء صندوق النقد الدولي سيرفع برنامجه الحالي لإقراض مصر مليارات مليارات وذلك الوقت سمح البنك المركزي للجنيه بالهبوط وقال سيسمح بحرية تداول العملة والاتفاق الجديد توسيع لتسهيلات الصندوق البالغ مليارات لمدة شهرا أبرمه صندوق النقد الدولي مصر ديسمبركانون الأول بنوده الرئيسية التحول نظام مرونة لسعر الصرف,0
رتفاع الأسعار وارتفع مؤشر أسعار المستهلك مقياس رئيسي للتضخم بنسبة فبرايرشباط زيادة بنسبة ينايركانون الثاني الماضي ولعبت تكاليف الوقود والمعيشة الإيجارات دورا الارتفاع شكلت الزيادة الشهرية المسجلة وعلى أساس سنوي ارتفع مؤشر أسعار المستهلك بنسبة فبرايرشباط أعلى قليلا الزيادة البالغة ينايركانون الثاني ورغم الابتعاد مستوى الذروة التضخم أميركا البالغة والتي سجلت يونيوحزيران وتيرة التضخم استمرت الأشهر الأخيرة بالصعود وتجاوز التضخم الأساسي يستثني أسعار المواد الغذائية والطاقة المتقلبة التوقعات مسجلا زيادة بنسبة ينايركانون الثاني العام الماضي ويعتبر الاقتصاديون الإجراء حاسما لأنه يعكس اتجاهات التضخم الأساسية بشكل دقة ولوحظت زيادات ملحوظة أسعار السيارات المستعملة والسفر الجوي والملابس يشير ضغوط أوسع الإنفاق الاستهلاكي,0
تملأ فوانيس كبيرة وملونة الشوارع بوسط القاهرة يبحث المتسوقون المصريون حولهم لشراء فوانيس تقليدية مزخرفة مرتبطة بشهر رمضان المبارك اعتاد المصريون تزيين بيوتهم بالفوانيس خلال الشهر الفضيل الأزمة الاقتصادية وانعكاسها الواردات تضغط البائعين والمشترين الموسم ويوضح العديد المتسوقين أسعار الفوانيس التقليدية أعلى السنوات السابقة ومع يقولون إنهم سيشترونها ليعيشوا أجواء شهر الصوم المتسوق إيهاب لطفي اعتبر الأسعار ارتفعت بشكل ملحوظ السابق فسابقا كانت الحياة بسيطة مقارنة بالوقت الحالي وأضاف لطفي غلا ارتفع رمضان طول مرتبط بالفانوس عمل لازم نشتري فانوس رمضان وقال المتسوق محمد حسن للأطفال فقط وإنما للجميع بالنسبة الفانوس سواء ارتباطه تاريخيا بالحي النور اللي بيهل بيه الشهر فبالنسبة شيء بنور حياتنا رمضان شهر فعلا بينور حياتنا حياة صعبة وفيها أزمات وعندما يأتي يزيح الأزمات ويجعل الحياة أحلى وأضاف حسن شخص متجوز متزوج وليس عندي أطفال بد الفانوس مستدركا بالقول الأسعار مرتفعة جدا السابق معتبرا الفوانيس المصنوعة مصريا ترتفع أسعارها تشغيل الفيديومدة الفيديو وأقر البائع أشرف أحمد بارتفاع أسعار الفوانيس العام مشيرا كبياعين نحاول نخفض الأسعار لتناسب الزبائن ويكون الربح بسيط نريد بيت مصري رمضان فانوس يفرح الجميع منهيا كلامه أريد أبيع كتير وأكسب قليل وسجل التضخم أسعار المستهلكين مصر خلال فبرايرشباط الماضي أكبر صعود شهري الإطلاق قفز أساس شهري ينايركانون الثاني يفوق بكثير توقعات الاقتصاديين وتأتي الزيادة التضخم الارتفاع المتوقع ينتج انخفاض قيمة العملة الأسبوع الماضي سمح البنك المركزي المصري الأربعاء الماضي للجنيه المصري بالانخفاض جنيها مقابل الدولار جنيها وقال محافظ البنك المركزي المصري حسن عبد الله القاهرة تستهدف خفض معدل التضخم رقم أحادي المدى المتوسط وذلك حرر البنك سعر صرف الجنيه ورفع أسعار الفائدة نقطة أساس خلال اجتماع استثنائي الأربعاء الماضي وقال رئيس الوزراء المصري الأربعاء صندوق النقد الدولي سيرفع برنامجه الحالي لإقراض مصر مليارات مليارات وذلك الوقت سمح البنك المركزي للجنيه بالهبوط وقال سيسمح بحرية تداول العملة والاتفاق الجديد توسيع لتسهيلات الصندوق البالغ مليارات لمدة شهرا أبرمه صندوق النقد الدولي مصر ديسمبركانون الأول بنوده الرئيسية التحول نظام مرونة لسعر الصرف,0
الوضع دفع آلاف الحرفيين إغلاق ورشهم ومحالهم والتحول لأعمال أخرى الهجرة ونقل أعمالهم خارج البلاد وسط تهديد فعلي باندثار العديد المهن التراثية والحرف اليدوية التقليدية تشكل قطاعات حيوية القطاعات الاقتصادية البلاد وجزءا يتجزأ هويته الحضارية فما أبرز أسباب التراجع وكيف ينعكس الحياة الاقتصادية البلاد غياب الدعم والمنافسة المتكافئة يقول أنطون عاما حرفي دمشقي ومالك سابق لورشة صناعة موزاييك ريف دمشق كفاحه لسنوات للإبقاء ورشته مشرعة الأبواب تنتج وتبيع يكفي لدفع أجور العاملين يكن مجديا ويضيف حديث للجزيرة نت حاولت جاهدا الحفاظ الورشة والعاملين لأطول فترة ممكنة الغلاء المستمر أسعار الخشب المحلي والمستورد بصورة موائمة والانقطاع الطويل للتيار الكهربائي ساعة يوميا وانخفاض الطلب الموزاييك السوق المحلية والخارجية كلها عوامل أجبرتني تسريح العاملين ولاحقا إغلاق الورشة انقضاء أشهر أستلم خلالها طلبيتين وبالإضافة العوامل يرجع أنطون سبب انخفاض الطلب الموزاييك الأصلي وغيرها المشغولات اليدوية والمصنوعات التراثية نحاسيات دمشقيات أنتيكا منسوجات واقع السوق الوقت الراهن ظل غياب السياح تراجع الطلب الخارجي السلعة نتيجة انقطاع العلاقات التجارية الأسواق الخارجية هجرة الوسطاء والتجار وبالتالي انخفاض التصدير منافسة متكافئة,0
والأسبوع الماضي قرر المركزي المصري خلال اجتماع استثنائي رفع عوائد الإيداع والإقراض لليلة واحدة وسعر العملية الرئيسية للبنك بواقع نقطة أساس ليصل الترتيب وقال المركزي بيان لجنة السياسات النقدية قررت الإسراع عملية التقييد النقدي تعجيل وصول التضخم مساره النزولي وضمان انخفاض معدلاته الشهري وارتفع التضخم السنوي مستويات الأسعار مصر خلال فبرايرشباط الماضي ينايركانون الثاني السابق وقال محافظ المركزي حسن عبد الله وقت سابق الدولة تستهدف خفض معدل التضخم رقم أحادي المدى المتوسط وذلك حرر البنك سعر صرف الجنيه العملة المحلية ورفع أسعار الفائدة الأربعاء الماضي وقبل أيام سمح المركزي للجنيه بالانخفاض وتعهده بالتحول نظام صرف مرونة تزامنا توقيع القاهرة برنامج قرض صندوق النقد الدولي بقيمة مليارات ووقع الاتفاق خفض قيمة الجنيه الدولار ارتفع سعره جنيها جنيها,0
عمان أعمل محال بيع الحلويات بأجرة شهرية دينارا دولارا وهذا المبلغ يكفي لمنتصف الشهر أفضل الأحوال فهناك التزامات عائلية ضرورية تتوقف ويزداد الأمر صعوبة خلال شهر رمضان يعني أعباء مالية إضافية يأتي الارتفاع المتسارع لأسعار السلع الغذائية أعرب الشاب براء مطر قلقه الظروف المعيشية والاقتصادية الصعبة يعيشها يختلف حال مطر يعيل أسرة أفراد حال آلاف الأسر الأردن فهذه مي الخلايلة موظفة شركة سياحة وسفر تتقاضى راتبا شهريا قيمته دينارا دولارا الرغم خبرتها تزيد سنوات وتضيف حديثها للجزيرة نت راتبها الثابت الوحيد المعادلة الاقتصادية الأردن فالأسعار ازدياد متسارع والأحوال المعيشية عام تكون أصعب قبله أمل بفرج قريب يبدو حد قولها وتقول لبنى سعادة ربة منزل راتب زوجها يكفي شهر رمضان للأيام العشر الأولى شهر الصوم عام يضطر الزوج للاستدانة يلبي حاجيات البيت الأساسية اللحوم والخضار ضرورة إقامة ولائم رمضان لبعض الأقارب والتي تزيد الأعباء كاهلنا وتضيف للجزيرة نت الأوضاع المعيشية المتأزمة جعلت قدرتهم الشرائية تتناسب الأسعار الحالية,0
كشف ألكسندر نوفاك نائب رئيس الوزراء الروسي مقابلة مجلة إكسبيرت الاتحاد الأوروبي زاد مشترياته الغاز الطبيعي المسال الروسي مليون طن خلال السنة الماضية بارتفاع مقارنة بوارداته بالمقابل أوضح نوفاك الاتحاد الأوروبي خفض واردات الغاز الطبيعي عبر خطوط الأنابيب روسيا بـ مرات لتتراجع حصة روسيا واردات الاتحاد المادة عام عام وقال وسط الانخفاض الحاد واردات الغاز الروسي عبر خطوط الأنابيب عزز الاتحاد الأوروبي مشترياته الغاز الطبيعي المسال الروسي الفترة ذاتها مليون طن وأضاف نوفاك خفض الاستهلاك وتراجع التصنيع عاملان بارزان تخلي أوروبا الغاز الروسي وأشار المسؤول الروسي دول الاتحاد الأوروبي خفضت تدريجيا وارداتها موارد الطاقة الأخرى روسيا تراجعت حصة بلاده واردات الاتحاد الأوروبي النفط المنتجات البترولية وانخفض استهلاك الغاز الاتحاد الأوروبي بنسبة العام الماضي مقارنة بالعام السابق ليصل مليار متر مكعب بلغ إجمالي الانخفاض مقارنة بعام وفقا للمصدر ذاته,0
السعودية فقد أمرت الحكومة ينايركانون الثاني الماضي شركة أرامكو بوقف خطتها للتوسع النفطي واستهداف طاقة إنتاجية مستدامة قصوى تبلغ مليون برميل يوميا بمليون برميل يوميا الهدف المعلن عام وانخفض خام برنت القياسي العالمي اليوم الاثنين متراجعا دولارا للبرميل إضافة المخاوف الجيوسياسية المستمرة الشرق الأوسط وروسيا للمخاوف الأخرى المتعلقة بتراجع الطلب الصين والآونة الأخيرة اتفق أعضاء تحالف أوبك بلس بقيادة السعودية وروسيا تمديد خفض إنتاج النفط طوعيا مليون برميل يوميا الربع الثاني يوفر دعما إضافيا للسوق وسط مخاوف بشأن النمو العالمي وزيادة الإنتاج خارج المجموعة,0
نفت وزارة الزراعة المغربية اليوم الاثنين شائعات تلوث الفراولة المصدرة أوروبا واتهمت جهات باستهداف سمعة المنتج المغربي جاء بيان للوزارة تداول وسائل التواصل الاجتماعي ادعاءات بوجود فيروس التهاب الكبد بالفراولة المغربية ونفت الوزارة يتم تداوله الوسائل واعتبرت إشاعات أساس الصحة ويوم الجمعة الماضي نفى المكتب المغربي للسلامة الغذائية حكومي تلوث الفراولة المصدرة أوروبا وذلك عقب تحذير الاتحاد الأوروبي إصابتها بالتهاب الكبد الوبائي وتأتي التطورات عقب اعتراض مزارعين إسبان شاحنات مغربية محملة بخضار تتجه أوروبا واردة للسوق المحلية وسط تصاعد احتجاجات مزارعين عدة دول أوروبية للمطالبة يصفونها حقوقا معيشية ومالية وأفادت الوزارة بيان اليوم الاثنين بأنه رغم النفي والتوضيحات السابقة بخصوص المنتجات الغذائية نتائج التحاليل الدقيقة ونظرا لاستمرار تداول معلومات خاطئة أساس الصحة صادرة جهات تحددها تستهدف تشويه سمعة المنتوج الفلاحي المغربي فإننا ننفي نفيا قاطعا صحة الأخبار,0
ال الجهاز المركزي للإحصاء الفلسطيني الاقتصاد الفلسطيني تكبد خسائر الإنتاج تقدر قيمتها بـ مليار خلال الشهور الأربعة الأولى لعدوان الاحتلال الإسرائيلي وأوضح الإحصاء بيان توقفا تام عجلة الإنتاج لمنشآت القطاع الخاص قطاع غزة وتراجعا مسبوق الضفة الغربية وأشارت التقديرات الأولية إنتاج القطاعات الاقتصادية الضفة الغربية خلال الشهور الأربعة الأولى عدوان الاحتلال الإسرائيلي فقد مقارنة المعدل الطبيعي للإنتاج خلال الشهور الأربعة بخسارة تقدر بحوالي مليار المقابل خسر قطاع غزة إنتاجه الطبيعي خلال الفترة نفسها يعادل ملايين سينعكس سلبا الإيرادات العامة فلسطين ويبلغ عدد منشآت القطاع الخاص فلسطين منشأة عام موزعة بواقع منشأة قطاع غزة منشأة الضفة الغربية ويشكل قطاع التجارة الداخلية النسبة الكبرى قطاع غزة وتبلغ نسبته إجمالي المنشآت يليه قطاع الخدمات بنسبة بلغت نسبة قطاع الصناعة باقي الأنشطة الاقتصادية الإنشاءات النقل والتخزين المعلومات الاتصالات المالية والتأمين فتشكل إجمالي عدد المنشآت ولفت جهاز الإحصاء بيان نقلته وكالة الأنباء الفلسطينية وفا اليوم الاثنين غالبية العمالة قطاع غزة تعطلت باستثناء العاملين قطاعات الصحة والإغاثة الإنسانية وبلغ عدد العاملين القطاع الخاص العام الماضي عامل عامل الضفة الغربية عامل قطاع غزة,0
