x,y
"تملأ فوانيس كبيرة وملونة الشوارع بوسط القاهرة حيث يبحث المتسوقون المصريون حولهم لشراء فوانيس تقليدية مزخرفة مرتبطة بشهر رمضان المبارك، حيث اعتاد المصريون على تزيين بيوتهم بالفوانيس خلال الشهر الفضيل.
لكن الأزمة الاقتصادية وانعكاسها على الواردات تضغط على كل من البائعين والمشترين هذا الموسم. ويوضح العديد من المتسوقين أن أسعار الفوانيس التقليدية أعلى من السنوات السابقة. ومع ذلك يقولون إنهم سيشترونها ليعيشوا أجواء شهر الصوم.
من هؤلاء المتسوق إيهاب لطفي الذي اعتبر أن الأسعار ارتفعت بشكل ملحوظ عن السابق، فسابقا كانت الحياة بسيطة مقارنة بالوقت الحالي.
وأضاف لطفي ""حتى مهما كان غلا (ارتفع)، رمضان على طول مرتبط بالفانوس، مهما عمل لازم (نشتري) فانوس رمضان"".
وقال المتسوق محمد حسن ""ليس للأطفال فقط وإنما للجميع، هو بالنسبة لنا الفانوس سواء ارتباطه تاريخيا أو بالحي إن هو النور اللي بيهل بيه الشهر، فبالنسبة لنا هو شيء بنور لنا حياتنا، هو رمضان شهر فعلا بينور حياتنا حتى لو حياة صعبة وفيها أزمات وعندما يأتي يزيح كل الأزمات ويجعل الحياة أحلى"".
وأضاف حسن ""أنا شخص غير متجوز (متزوج) وليس عندي أطفال ولكن لا بد من الفانوس""، مستدركا بالقول الأسعار مرتفعة جدا عن السابق، معتبرا أن الفوانيس المصنوعة مصريا لم ترتفع أسعارها كثيرا.
تشغيل الفيديومدة الفيديو 
وأقر البائع أشرف أحمد بارتفاع أسعار الفوانيس هذا العام، مشيرا ""نحن كبياعين نحاول نخفض الأسعار لتناسب الزبائن ويكون الربح بسيط، فلا نريد بيت مصري في رمضان من غير فانوس، حتى يفرح الجميع""، منهيا كلامه ""أنا أريد أبيع كتير وأكسب قليل"".
وسجل التضخم في أسعار المستهلكين في مصر خلال فبراير/شباط الماضي أكبر صعود شهري على الإطلاق، إذ قفز 11.4% على أساس شهري من 1.6% في يناير/كانون الثاني، وهو ما يفوق بكثير توقعات الاقتصاديين.
وتأتي الزيادة في التضخم قبل الارتفاع المتوقع أن ينتج عن انخفاض قيمة العملة الأسبوع الماضي. حيث سمح البنك المركزي المصري الأربعاء الماضي للجنيه المصري بالانخفاض إلى نحو 50 جنيها في مقابل الدولار من 30.85 جنيها.
وقال محافظ البنك المركزي المصري حسن عبد الله إن القاهرة تستهدف خفض معدل التضخم إلى رقم أحادي (دون 10%) على المدى المتوسط، وذلك بعد أن حرر البنك سعر صرف الجنيه، ورفع أسعار الفائدة 600 نقطة أساس خلال اجتماع استثنائي الأربعاء الماضي.
وقال رئيس الوزراء المصري، الأربعاء، إن صندوق النقد الدولي سيرفع برنامجه الحالي لإقراض مصر 5 مليارات دولار إلى 8 مليارات، وذلك في الوقت الذي سمح فيه البنك المركزي للجنيه بالهبوط، وقال إنه سيسمح بحرية تداول العملة.
والاتفاق الجديد توسيع لتسهيلات الصندوق البالغ 3 مليارات دولار لمدة 46 شهرا الذي أبرمه صندوق النقد الدولي مع مصر في ديسمبر/كانون الأول 2022، والذي كان أحد بنوده الرئيسية التحول إلى نظام أكثر مرونة لسعر الصرف
",0
"رتفاع الأسعار
وارتفع مؤشر أسعار المستهلك (وهو مقياس رئيسي للتضخم) بنسبة 0.4% في فبراير/شباط، بعد زيادة بنسبة 0.3% في يناير/كانون الثاني الماضي.
ولعبت تكاليف الوقود والمعيشة، بما في ذلك الإيجارات، دورا مهما في هذا الارتفاع، حيث شكلت أكثر من 60% من الزيادة الشهرية المسجلة.
وعلى أساس سنوي، ارتفع مؤشر أسعار المستهلك بنسبة 3.2% في فبراير/شباط، وهو أعلى قليلا من الزيادة البالغة 3.1% في يناير/كانون الثاني.
ورغم الابتعاد عن مستوى الذروة في التضخم في أميركا البالغة 9.1% والتي سُجلت في يونيو/حزيران 2022، فإن وتيرة التضخم استمرت في الأشهر الأخيرة بالصعود.
وتجاوز التضخم الأساسي، الذي يستثني أسعار المواد الغذائية والطاقة المتقلبة، التوقعات أيضا، مسجلا زيادة بنسبة 0.4% عن يناير/كانون الثاني و3.8% عن العام الماضي.
ويعتبر الاقتصاديون هذا الإجراء حاسما لأنه يعكس اتجاهات التضخم الأساسية بشكل أكثر دقة.
ولوحظت زيادات ملحوظة في أسعار السيارات المستعملة والسفر الجوي والملابس، مما يشير إلى ضغوط أوسع على الإنفاق الاستهلاكي.
",0
"تملأ فوانيس كبيرة وملونة الشوارع بوسط القاهرة حيث يبحث المتسوقون المصريون حولهم لشراء فوانيس تقليدية مزخرفة مرتبطة بشهر رمضان المبارك، حيث اعتاد المصريون على تزيين بيوتهم بالفوانيس خلال الشهر الفضيل.
لكن الأزمة الاقتصادية وانعكاسها على الواردات تضغط على كل من البائعين والمشترين هذا الموسم. ويوضح العديد من المتسوقين أن أسعار الفوانيس التقليدية أعلى من السنوات السابقة. ومع ذلك يقولون إنهم سيشترونها ليعيشوا أجواء شهر الصوم.
من هؤلاء المتسوق إيهاب لطفي الذي اعتبر أن الأسعار ارتفعت بشكل ملحوظ عن السابق، فسابقا كانت الحياة بسيطة مقارنة بالوقت الحالي.
وأضاف لطفي ""حتى مهما كان غلا (ارتفع)، رمضان على طول مرتبط بالفانوس، مهما عمل لازم (نشتري) فانوس رمضان"".
وقال المتسوق محمد حسن ""ليس للأطفال فقط وإنما للجميع، هو بالنسبة لنا الفانوس سواء ارتباطه تاريخيا أو بالحي إن هو النور اللي بيهل بيه الشهر، فبالنسبة لنا هو شيء بنور لنا حياتنا، هو رمضان شهر فعلا بينور حياتنا حتى لو حياة صعبة وفيها أزمات وعندما يأتي يزيح كل الأزمات ويجعل الحياة أحلى"".
وأضاف حسن ""أنا شخص غير متجوز (متزوج) وليس عندي أطفال ولكن لا بد من الفانوس""، مستدركا بالقول الأسعار مرتفعة جدا عن السابق، معتبرا أن الفوانيس المصنوعة مصريا لم ترتفع أسعارها كثيرا.
تشغيل الفيديومدة الفيديو  وأقر البائع أشرف أحمد بارتفاع أسعار الفوانيس هذا العام، مشيرا ""نحن كبياعين نحاول نخفض الأسعار لتناسب الزبائن ويكون الربح بسيط، فلا نريد بيت مصري في رمضان من غير فانوس، حتى يفرح الجميع""، منهيا كلامه ""أنا أريد أبيع كتير وأكسب قليل"". وسجل التضخم في أسعار المستهلكين في مصر خلال فبراير/شباط الماضي أكبر صعود شهري على الإطلاق، إذ قفز 11.4% على أساس شهري من 1.6% في يناير/كانون الثاني، وهو ما يفوق بكثير توقعات الاقتصاديين. وتأتي الزيادة في التضخم قبل الارتفاع المتوقع أن ينتج عن انخفاض قيمة العملة الأسبوع الماضي. حيث سمح البنك المركزي المصري الأربعاء الماضي للجنيه المصري بالانخفاض إلى نحو 50 جنيها في مقابل الدولار من 30.85 جنيها. وقال محافظ البنك المركزي المصري حسن عبد الله إن القاهرة تستهدف خفض معدل التضخم إلى رقم أحادي (دون 10%) على المدى المتوسط، وذلك بعد أن حرر البنك سعر صرف الجنيه، ورفع أسعار الفائدة 600 نقطة أساس خلال اجتماع استثنائي الأربعاء الماضي. وقال رئيس الوزراء المصري، الأربعاء، إن صندوق النقد الدولي سيرفع برنامجه الحالي لإقراض مصر 5 مليارات دولار إلى 8 مليارات، وذلك في الوقت الذي سمح فيه البنك المركزي للجنيه بالهبوط، وقال إنه سيسمح بحرية تداول العملة. والاتفاق الجديد توسيع لتسهيلات الصندوق البالغ 3 مليارات دولار لمدة 46 شهرا الذي أبرمه صندوق النقد الدولي مع مصر في ديسمبر/كانون الأول 2022، والذي كان أحد بنوده الرئيسية التحول إلى نظام أكثر مرونة لسعر الصرف ",0
"هذا الوضع دفع آلاف الحرفيين إلى إغلاق ورشهم ومحالهم والتحول لأعمال أخرى، أو الهجرة ونقل أعمالهم إلى خارج البلاد، وسط تهديد فعلي باندثار العديد من المهن التراثية والحرف اليدوية التقليدية التي تشكّل قطاعات حيوية من القطاعات الاقتصادية في البلاد وجزءا لا يتجزأ من هويته الحضارية.
فما أبرز أسباب هذا التراجع؟ وكيف ينعكس على الحياة الاقتصادية في البلاد؟
غياب الدعم والمنافسة غير المتكافئة
يقول أنطون (42 عاما)، وهو حرفي دمشقي ومالك سابق لورشة صناعة موزاييك في ريف دمشق، إن كفاحه لسنوات للإبقاء على ورشته مشرعة الأبواب تنتج وتبيع ما يكفي لدفع أجور العاملين فيها لم يكن مجديا.
ويضيف في حديث للجزيرة نت: ""حاولت جاهدا الحفاظ على الورشة والعاملين فيها لأطول فترة ممكنة، لكن الغلاء المستمر في أسعار الخشب (المحلي والمستورد) بصورة غير موائمة، والانقطاع الطويل للتيار الكهربائي (16_18 ساعة يوميا)، وانخفاض الطلب على الموزاييك في السوق المحلية والخارجية، كلها عوامل أجبرتني على تسريح العاملين، ولاحقا إلى إغلاق الورشة بعد انقضاء أشهر لم أستلم خلالها سوى طلبيتين"".
وبالإضافة إلى تلك العوامل، يرجع أنطون سبب انخفاض الطلب على الموزاييك ""الأصلي"" وغيرها من المشغولات اليدوية والمصنوعات التراثية (نحاسيات، دمشقيات، أنتيكا، منسوجات) إلى:
واقع السوق في الوقت الراهن في ظل غياب السياح.
تراجع الطلب الخارجي على السلعة نتيجة انقطاع العلاقات التجارية مع الأسواق الخارجية.
هجرة الوسطاء والتجار وبالتالي انخفاض التصدير.
منافسة غير متكافئة.
",0
"والأسبوع الماضي، قرر المركزي المصري -خلال اجتماع استثنائي- رفع عوائد الإيداع والإقراض لليلة واحدة وسعر العملية الرئيسية للبنك بواقع 600 نقطة أساس، ليصل إلى 27.25% و28.25% و27.75% على الترتيب.
وقال المركزي في بيان إن لجنة السياسات النقدية قررت الإسراع في عملية التقييد النقدي من أجل تعجيل وصول التضخم إلى مساره النزولي، وضمان انخفاض معدلاته الشهري.
وارتفع التضخم السنوي (مستويات الأسعار) في مصر -خلال فبراير/شباط الماضي- إلى 36% من 31.2% في يناير/كانون الثاني السابق عليه.
وقال محافظ المركزي حسن عبد الله في وقت سابق إن الدولة تستهدف خفض معدل التضخم إلى رقم أحادي (دون 10%) على المدى المتوسط، وذلك بعد أن حرر البنك سعر صرف الجنيه (العملة المحلية) ورفع أسعار الفائدة الأربعاء الماضي.
وقبل أيام، سمح المركزي للجنيه بالانخفاض وتعهده بالتحول إلى نظام صرف أكثر مرونة، تزامنا مع توقيع القاهرة على برنامج قرض مع صندوق النقد الدولي بقيمة 8 مليارات دولار.
ووُقّع الاتفاق بعد خفض قيمة الجنيه أمام الدولار، حيث ارتفع سعره من نحو 30.85 جنيها إلى أكثر من 49 جنيها.
",0
"عمّان- ""أعمل في أحد محال بيع الحلويات بأجرة شهرية 260 دينارا (366 دولارا)، وهذا المبلغ لا يكفي لمنتصف الشهر في أفضل الأحوال، فهناك التزامات عائلية ضرورية لا تتوقف، ويزداد الأمر صعوبة خلال شهر رمضان، مما يعني أعباء مالية إضافية، يأتي كل هذا مع الارتفاع المتسارع لأسعار السلع الغذائية""، هكذا أعرب الشاب براء مطر عن قلقه من الظروف المعيشية والاقتصادية الصعبة التي يعيشها.
لا يختلف حال مطر، -الذي يعيل أسرة من 4 أفراد-، كثيرا عن حال آلاف الأسر في الأردن، فهذه مي الخلايلة موظفة في شركة سياحة وسفر، تتقاضى راتبا شهريا قيمته 320 دينارا (451 دولارا)، على الرغم من خبرتها التي تزيد على 5 سنوات.
وتضيف في حديثها للجزيرة نت أن راتبها الثابت الوحيد في المعادلة الاقتصادية في الأردن، فالأسعار في ازدياد متسارع، والأحوال المعيشية في كل عام تكون أصعب من الذي قبله، ولا أمل بفرجٍ قريب على ما يبدو، على حد قولها.
وتقول لبنى سعادة (ربة منزل) إن راتب زوجها لا يكفي في شهر رمضان سوى للأيام العشر الأولى من شهر الصوم، -كما في كل عام-، مما يضطر الزوج للاستدانة حتى يلبي حاجيات البيت الأساسية، خاصة من اللحوم والخضار، فضلا عن ضرورة إقامة ولائم رمضان لبعض الأقارب، والتي تزيد الأعباء على كاهلنا.
وتضيف للجزيرة نت أن الأوضاع المعيشية المتأزمة جعلت قدرتهم الشرائية لا تتناسب مع الأسعار الحالية.
",0
"كشف ألكسندر نوفاك نائب رئيس الوزراء الروسي في مقابلة مع ""مجلة إكسبيرت"" أن الاتحاد الأوروبي زاد مشترياته من الغاز الطبيعي المسال الروسي إلى 15 مليون طن خلال السنة الماضية بارتفاع 38% مقارنة بوارداته في 2021.
بالمقابل أوضح نوفاك أن الاتحاد الأوروبي خفض واردات الغاز الطبيعي عبر خطوط الأنابيب من روسيا بـ5 مرات، لتتراجع حصة روسيا من واردات الاتحاد ممن هذه المادة من 45% في عام 2021 إلى أقل من 15% عام 2023.
وقال: ""وسط الانخفاض الحاد في واردات الغاز الروسي عبر خطوط الأنابيب 2021-2023 عزز الاتحاد الأوروبي مشترياته من الغاز الطبيعي المسال الروسي في الفترة ذاتها إلى أكثر من 15 مليون طن"".
وأضاف نوفاك: ""خفض الاستهلاك وتراجع التصنيع عاملان بارزان في تخلي أوروبا عن الغاز الروسي"".
وأشار المسؤول الروسي إلى أن دول الاتحاد الأوروبي خفضت تدريجيا وارداتها من موارد الطاقة الأخرى من روسيا أيضا، حيث تراجعت حصة بلاده في واردات الاتحاد الأوروبي من النفط من 27% في 2021 إلى 4% في 2023، ومن المنتجات البترولية من 50% في 2021 إلى 9% في 2023.
وانخفض استهلاك الغاز في الاتحاد الأوروبي بنسبة 7% العام الماضي مقارنة بالعام السابق له ليصل إلى نحو 330 مليار متر مكعب، في حين بلغ إجمالي الانخفاض مقارنة بعام 2021 نحو 20%، وفقا للمصدر ذاته.
",0
"ما في السعودية، فقد أمرت الحكومة في يناير/كانون الثاني الماضي شركة أرامكو بوقف خطتها للتوسع النفطي واستهداف طاقة إنتاجية مستدامة قصوى تبلغ 12 مليون برميل يوميا، أي أقل بمليون برميل يوميا من الهدف المعلن عام 2020.
وانخفض خام برنت القياسي العالمي اليوم الاثنين، متراجعا عن 82 دولارا للبرميل، مع إضافة المخاوف الجيوسياسية المستمرة في الشرق الأوسط وروسيا للمخاوف الأخرى المتعلقة بتراجع الطلب في الصين.
والآونة الأخيرة، اتفق أعضاء تحالف أوبك بلس -بقيادة السعودية وروسيا- على تمديد خفض إنتاج النفط طوعيا 2.2 مليون برميل يوميا في الربع الثاني، مما يوفر دعما إضافيا للسوق، وسط مخاوف بشأن النمو العالمي وزيادة الإنتاج خارج المجموعة.
",0
"نفت وزارة الزراعة المغربية، اليوم الاثنين، شائعات ""تلوث"" الفراولة المصدرة إلى أوروبا، واتهمت جهات باستهداف سمعة المنتج المغربي.
جاء ذلك في بيان للوزارة بعد تداول بعض وسائل التواصل الاجتماعي ادعاءات بوجود فيروس التهاب الكبد ""أ"" بالفراولة المغربية.
ونفت الوزارة ما يتم تداوله على تلك الوسائل، واعتبرت ذلك ""إشاعات لا أساس لها من الصحة"".
ويوم الجمعة الماضي، نفى المكتب المغربي للسلامة الغذائية (حكومي) تلوث الفراولة المصدرة نحو أوروبا، وذلك عقب تحذير الاتحاد الأوروبي من إصابتها بالتهاب الكبد الوبائي ""أ"".
وتأتي هذه التطورات عقب اعتراض مزارعين إسبان شاحنات مغربية محملة بخضار تتجه نحو أوروبا أو واردة للسوق المحلية، وسط تصاعد احتجاجات مزارعين في عدة دول أوروبية للمطالبة بما يصفونها حقوقا معيشية ومالية.
وأفادت الوزارة في بيان -اليوم الاثنين- بأنه رغم النفي والتوضيحات السابقة بخصوص المنتجات الغذائية بعد نتائج التحاليل الدقيقة، و""نظرا لاستمرار تداول معلومات خاطئة لا أساس لها من الصحة صادرة عن جهات (لم تحددها) تستهدف تشويه سمعة المنتوج الفلاحي المغربي، فإننا ننفي نفيا قاطعا صحة هذه الأخبار"".
",0
"ال الجهاز المركزي للإحصاء الفلسطيني إن الاقتصاد الفلسطيني تكبد خسائر في الإنتاج تقدر قيمتها بـ2.3 مليار دولار خلال الشهور الأربعة الأولى لعدوان الاحتلال الإسرائيلي.
وأوضح الإحصاء -في بيان له- أن هناك توقفا شبه تام في عجلة الإنتاج لمنشآت القطاع الخاص في قطاع غزة، وتراجعا غير مسبوق في الضفة الغربية.
وأشارت التقديرات الأولية إلى أن إنتاج القطاعات الاقتصادية في الضفة الغربية خلال الشهور الأربعة الأولى من عدوان الاحتلال الإسرائيلي فقد 27% مقارنة مع المعدل الطبيعي للإنتاج خلال هذه الشهور الأربعة بخسارة تقدر بحوالي 1.5 مليار دولار.
في المقابل، خسر قطاع غزة 86% من إنتاجه الطبيعي خلال الفترة نفسها، أي بما يعادل 810 ملايين دولار، وهو ما سينعكس سلبا على الإيرادات العامة في فلسطين.
ويبلغ عدد منشآت القطاع الخاص في فلسطين نحو 176 ألف منشأة عام 2023، موزعة بواقع 56 ألف منشأة في قطاع غزة، و120 ألف منشأة في الضفة الغربية.
ويشكل قطاع التجارة الداخلية النسبة الكبرى في قطاع غزة، وتبلغ نسبته 56% من إجمالي المنشآت، يليه قطاع الخدمات بنسبة 30%، في حين بلغت نسبة قطاع الصناعة نحو 10%، أما باقي الأنشطة الاقتصادية (الإنشاءات، النقل والتخزين، المعلومات الاتصالات، المالية والتأمين)، فتشكل 4% من إجمالي عدد المنشآت.
ولفت جهاز الإحصاء في بيان له -نقلته وكالة الأنباء الفلسطينية (وفا) اليوم الاثنين- أن غالبية العمالة في قطاع غزة تعطّلت، باستثناء العاملين في قطاعات الصحة والإغاثة الإنسانية.
وبلغ عدد العاملين في القطاع الخاص العام الماضي نحو 522 ألف عامل، 349 ألف عامل في الضفة الغربية، و173 ألف عامل في قطاع غزة.
",0
